2025-06-14 18:28:10,spikes,2000.0,3300.0,4200.0,3,Tienda 1,$6600.00
2025-06-14 18:28:39,spikes,2000.0,3300.0,4200.0,5,Tienda 1,$11000.00
2025-06-17 08:30:20,car,1.0,1.0,2.0,4,Tienda 1,$4.00
2025-06-17 08:30:40,car,1.0,1.0,2.0,4,Tienda 1,$4.00
2025-06-17 08:31:07,dado,4.0,4.0,8.0,8,Tienda 1,$32.00
2025-06-17 08:37:36,bimbo,15.0,17.0,16.0,1,Tienda 1,$2.00
2025-06-17 08:37:36,bimbo,15.0,17.0,16.0,1,Tienda 1,$2.00
2025-06-17 08:37:36,bimbo,15.0,17.0,16.0,1,Tienda 1,$2.00
2025-06-17 08:46:52,5,6.0,7.0,7.0,6,Tienda 1,$6.00
2025-06-17 08:56:24,car,2.0,3.0,4.0,7,Tienda 1,$14.00
